Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
493138,35751A,,152,2009-12-22 11:32:00,0.0,,United Kingdom
493142,37485,,76,2009-12-22 11:33:00,0.0,,United Kingdom
493141,84814B,,79,2009-12-22 11:33:00,0.0,,United Kingdom
493144,72756,,74,2009-12-22 11:35:00,0.0,,United Kingdom
493143,20736,,187,2009-12-22 11:35:00,0.0,,United Kingdom
493145,22197,,453,2009-12-22 11:36:00,0.0,,United Kingdom
493146,20668,,348,2009-12-22 11:36:00,0.0,,United Kingdom
493148,20952,,445,2009-12-22 11:37:00,0.0,,United Kingdom
493147,72724,,45,2009-12-22 11:37:00,0.0,,United Kingdom
493150,71263G,,39,2009-12-22 11:38:00,0.0,,United Kingdom
493151,21560,,36,2009-12-22 11:38:00,0.0,,United Kingdom
493149,17164D,,784,2009-12-22 11:38:00,0.0,,United Kingdom
493152,37446,,37,2009-12-22 11:39:00,0.0,,United Kingdom
493153,35603B,,12,2009-12-22 11:39:00,0.0,,United Kingdom
493154,35603B,,30,2009-12-22 11:39:00,0.0,,United Kingdom
493155,35999,,28,2009-12-22 11:40:00,0.0,,United Kingdom
493156,79163,,2000,2009-12-22 11:40:00,0.0,,United Kingdom
493158,85230C,,24,2009-12-22 11:41:00,0.0,,United Kingdom
493159,85230D,,24,2009-12-22 11:41:00,0.0,,United Kingdom
493160,72708,,46,2009-12-22 11:48:00,0.0,,United Kingdom
493161,22144,,21,2009-12-22 11:48:00,0.0,,United Kingdom
493162,20691,,20,2009-12-22 11:49:00,0.0,,United Kingdom
493163,35051B,,18,2009-12-22 11:49:00,0.0,,United Kingdom
493164,20880,,17,2009-12-22 11:49:00,0.0,,United Kingdom
493165,20859,,15,2009-12-22 11:50:00,0.0,,United Kingdom
493167,22330,,174,2009-12-22 11:50:00,0.0,,United Kingdom
493166,22390,,15,2009-12-22 11:50:00,0.0,,United Kingdom
493169,72777,,14,2009-12-22 11:50:00,0.0,,United Kingdom
493174,84251C,,12,2009-12-22 11:51:00,0.0,,United Kingdom
493173,21478,,12,2009-12-22 11:51:00,0.0,,United Kingdom
493171,20621,,163,2009-12-22 11:51:00,0.0,,United Kingdom
493172,71477,,52,2009-12-22 11:51:00,0.0,,United Kingdom
493170,79069A,,14,2009-12-22 11:51:00,0.0,,United Kingdom
493175,85151,,12,2009-12-22 11:52:00,0.0,,United Kingdom
493176,22141,,11,2009-12-22 11:52:00,0.0,,United Kingdom
493177,44091C,,66,2009-12-22 11:52:00,0.0,,United Kingdom
493180,22003,,10,2009-12-22 11:53:00,0.0,,United Kingdom
493178,84247B,,11,2009-12-22 11:53:00,0.0,,United Kingdom
493179,84986A,,11,2009-12-22 11:53:00,0.0,,United Kingdom
493185,35980A,,9,2009-12-22 12:03:00,0.0,,United Kingdom
493184,84940,,10,2009-12-22 12:03:00,0.0,,United Kingdom
493186,79053A,,9,2009-12-22 12:04:00,0.0,,United Kingdom
493192,72655C,,8,2009-12-22 13:18:00,0.0,,United Kingdom
493194,47556,,7,2009-12-22 13:19:00,0.0,,United Kingdom
493193,35977B,,7,2009-12-22 13:19:00,0.0,,United Kingdom
493195,85083,,7,2009-12-22 13:20:00,0.0,,United Kingdom
493196,90002A,,7,2009-12-22 13:21:00,0.0,,United Kingdom
493197,20673,,6,2009-12-22 13:21:00,0.0,,United Kingdom
493199,35975B,,6,2009-12-22 13:22:00,0.0,,United Kingdom
493198,20887,,6,2009-12-22 13:22:00,0.0,,United Kingdom
493203,20959,,5,2009-12-22 13:23:00,0.0,,United Kingdom
493201,20884,,-5,2009-12-22 13:23:00,0.0,,United Kingdom
493202,20884,,10,2009-12-22 13:23:00,0.0,,United Kingdom
493206,85231D,,5,2009-12-22 13:24:00,0.0,,United Kingdom
493204,84921,,5,2009-12-22 13:24:00,0.0,,United Kingdom
493205,85025A,,5,2009-12-22 13:24:00,0.0,,United Kingdom
493208,21492,,4,2009-12-22 13:25:00,0.0,,United Kingdom
493207,21362,,4,2009-12-22 13:25:00,0.0,,United Kingdom
493209,21852,,4,2009-12-22 13:27:00,0.0,,United Kingdom
493211,35994,,4,2009-12-22 13:27:00,0.0,,United Kingdom
493210,22113,,4,2009-12-22 13:27:00,0.0,,United Kingdom
493213,47340B,,4,2009-12-22 13:28:00,0.0,,United Kingdom
493214,71409B,,4,2009-12-22 13:28:00,0.0,,United Kingdom
493212,46307,,5,2009-12-22 13:28:00,0.0,,United Kingdom
493215,84029D,,4,2009-12-22 13:29:00,0.0,,United Kingdom
493217,84247N,,86,2009-12-22 13:34:00,0.0,,United Kingdom
493218,17129C,,48,2009-12-22 13:39:00,0.0,,United Kingdom
493219,20995,,3,2009-12-22 13:39:00,0.0,,United Kingdom
493220,21787,,3,2009-12-22 13:39:00,0.0,,United Kingdom
493222,37451,,3,2009-12-22 13:40:00,0.0,,United Kingdom
493221,35001P,,3,2009-12-22 13:40:00,0.0,,United Kingdom
493223,21487,,2,2009-12-22 13:41:00,0.0,,United Kingdom
493224,78056,,2,2009-12-22 13:42:00,0.0,,United Kingdom
493225,79065A,,2,2009-12-22 13:42:00,0.0,,United Kingdom
493226,84558B,,-2,2009-12-22 13:43:00,0.0,,United Kingdom
493227,84558B,,4,2009-12-22 13:43:00,0.0,,United Kingdom
493229,37399,,-113,2009-12-22 13:44:00,0.0,,United Kingdom
493230,21915,,1,2009-12-22 13:44:00,0.0,,United Kingdom
493232,16258B,,-207,2009-12-22 13:44:00,0.0,,United Kingdom
493228,21169,,43,2009-12-22 13:44:00,0.0,,United Kingdom
493231,21859,,1,2009-12-22 13:44:00,0.0,,United Kingdom
493233,79053B,,1,2009-12-22 13:45:00,0.0,,United Kingdom
493234,21029,,2,2009-12-22 13:45:00,0.0,,United Kingdom
493235,79340W,,3,2009-12-22 13:45:00,0.0,,United Kingdom
493239,35821P,,2,2009-12-22 13:46:00,0.0,,United Kingdom
493236,16161C,,316,2009-12-22 13:46:00,0.0,,United Kingdom
493238,20743,,1,2009-12-22 13:46:00,0.0,,United Kingdom
493237,16161C,,-632,2009-12-22 13:46:00,0.0,,United Kingdom
493241,21767,,1,2009-12-22 13:47:00,0.0,,United Kingdom
493242,21505,,1,2009-12-22 13:47:00,0.0,,United Kingdom
493240,84803B,,3,2009-12-22 13:47:00,0.0,,United Kingdom
493243,21450,,1,2009-12-22 13:47:00,0.0,,United Kingdom
493244,21148,,1,2009-12-22 13:48:00,0.0,,United Kingdom
493245,21543,,1,2009-12-22 13:48:00,0.0,,United Kingdom
493246,79165,,1,2009-12-22 13:49:00,0.0,,United Kingdom
493248,84255A,,1,2009-12-22 13:50:00,0.0,,United Kingdom
493247,72483,,2,2009-12-22 13:50:00,0.0,,United Kingdom
493249,16195,,1,2009-12-22 13:50:00,0.0,,United Kingdom
493250,84811A,,1,2009-12-22 13:50:00,0.0,,United Kingdom
493251,47567,,1,2009-12-22 13:50:00,0.0,,United Kingdom
493252,20683,,1,2009-12-22 13:51:00,0.0,,United Kingdom
493254,72487,,1,2009-12-22 13:51:00,0.0,,United Kingdom
493253,71028A,,1,2009-12-22 13:51:00,0.0,,United Kingdom
493255,37484,,1,2009-12-22 13:52:00,0.0,,United Kingdom
493256,37468,,1,2009-12-22 13:52:00,0.0,,United Kingdom
493268,DCGS0066N,,1,2009-12-22 15:07:00,0.0,,United Kingdom
493270,20721,,1,2009-12-22 15:08:00,0.0,,United Kingdom
493272,20737,,1,2009-12-22 15:08:00,0.0,,United Kingdom
493274,84899A,,1,2009-12-22 15:09:00,0.0,,United Kingdom
493275,84928,,1,2009-12-22 15:10:00,0.0,,United Kingdom
493277,84972L,,1,2009-12-22 15:10:00,0.0,,United Kingdom
493280,47347A,,2,2009-12-22 15:11:00,0.0,,United Kingdom
493278,72785A,,2,2009-12-22 15:11:00,0.0,,United Kingdom
493279,72803B,,3,2009-12-22 15:11:00,0.0,,United Kingdom
493285,79309A,,1,2009-12-22 15:12:00,0.0,,United Kingdom
493282,85098A,,1,2009-12-22 15:12:00,0.0,,United Kingdom
493284,48172,,1,2009-12-22 15:12:00,0.0,,United Kingdom
493281,84927C,,2,2009-12-22 15:12:00,0.0,,United Kingdom
493289,DCGS0066N,,1,2009-12-22 15:13:00,0.0,,United Kingdom
493291,84945,,1,2009-12-22 15:13:00,0.0,,United Kingdom
493286,72778,,1,2009-12-22 15:13:00,0.0,,United Kingdom
493292,84757,,1,2009-12-22 15:14:00,0.0,,United Kingdom
493293,21560,,3,2009-12-22 15:15:00,0.0,,United Kingdom
493294,TEST002,,1,2009-12-22 15:15:00,0.0,,United Kingdom
493295,35945,,1,2009-12-22 15:16:00,0.0,,United Kingdom
493296,35598C,,1,2009-12-22 15:16:00,0.0,,United Kingdom
493298,90121A,,1,2009-12-22 15:17:00,0.0,,United Kingdom
493297,85018C,,3,2009-12-22 15:17:00,0.0,,United Kingdom
493299,85184A,,1,2009-12-22 15:17:00,0.0,,United Kingdom
493328,37492A,,-38,2009-12-23 09:44:00,0.0,,United Kingdom
493327,84705B,,-11,2009-12-23 09:44:00,0.0,,United Kingdom
493343,37492C,,23,2009-12-23 10:04:00,0.0,,United Kingdom
493370,35004S,,-292,2009-12-23 10:29:00,0.0,,United Kingdom
493405,37452B,,-15,2009-12-23 16:01:00,0.0,,United Kingdom
493406,37452A,,-25,2009-12-23 16:02:00,0.0,,United Kingdom
493494,21231,,-84,2010-01-04 14:56:00,0.0,,United Kingdom
493508,20887,,9,2010-01-04 15:08:00,0.0,,United Kingdom
493510,40046C,,7,2010-01-04 15:08:00,0.0,,United Kingdom
493509,21558,,7,2010-01-04 15:08:00,0.0,,United Kingdom
493513,47009,,3,2010-01-04 15:09:00,0.0,,United Kingdom
493511,84753A,,89,2010-01-04 15:09:00,0.0,,United Kingdom
493512,37509,,3,2010-01-04 15:09:00,0.0,,United Kingdom
493514,20911,,2,2010-01-04 15:09:00,0.0,,United Kingdom
493516,35990,,2,2010-01-04 15:11:00,0.0,,United Kingdom
493517,84029D,,2,2010-01-04 15:11:00,0.0,,United Kingdom
493515,20940,,2,2010-01-04 15:11:00,0.0,,United Kingdom
493518,84671A,,2,2010-01-04 15:12:00,0.0,,United Kingdom
493519,90004A,,2,2010-01-04 15:12:00,0.0,,United Kingdom
493521,20870,,1,2010-01-04 15:12:00,0.0,,United Kingdom
493520,90121B,,6,2010-01-04 15:12:00,0.0,,United Kingdom
493522,20973,,1,2010-01-04 15:13:00,0.0,,United Kingdom
493523,21353,,1,2010-01-04 15:13:00,0.0,,United Kingdom
493524,21479,,1,2010-01-04 15:13:00,0.0,,United Kingdom
493525,22141,,1,2010-01-04 15:13:00,0.0,,United Kingdom
493526,22213,,1,2010-01-04 15:14:00,0.0,,United Kingdom
493527,35980C,,200,2010-01-04 15:15:00,0.0,,United Kingdom
493529,84855,,1,2010-01-04 15:16:00,0.0,,United Kingdom
493528,62097A,,4,2010-01-04 15:16:00,0.0,,United Kingdom
493530,84877C,,1,2010-01-04 15:16:00,0.0,,United Kingdom
493532,85232C,,1,2010-01-04 15:17:00,0.0,,United Kingdom
493531,85064,,1,2010-01-04 15:17:00,0.0,,United Kingdom
493533,90082C,,3,2010-01-04 15:18:00,0.0,,United Kingdom
493534,90091,,1,2010-01-04 15:19:00,0.0,,United Kingdom
493567,72754D,,-104,2010-01-05 09:16:00,0.0,,United Kingdom
493572,20714,missing,-450,2010-01-05 10:13:00,0.0,,United Kingdom
493668,72740A,,-43,2010-01-05 12:16:00,0.0,,United Kingdom
493669,85166A,,-36,2010-01-05 12:17:00,0.0,,United Kingdom
493697,21981,,100,2010-01-05 13:41:00,0.0,,United Kingdom
493698,21981,,-200,2010-01-05 13:42:00,0.0,,United Kingdom
493761,79320, FLAMINGO LIGHTS,24,2010-01-06 14:54:00,0.0,14258.0,United Kingdom
493821,17129D,missing (wrongly coded?),-2127,2010-01-07 12:43:00,0.0,,United Kingdom
493837,17129D,,120,2010-01-07 13:49:00,0.0,,United Kingdom
493845,84718,,-95,2010-01-07 15:02:00,0.0,,United Kingdom
493858,20753,,-260,2010-01-07 16:12:00,0.0,,United Kingdom
493879,21322,,-17,2010-01-08 09:20:00,0.0,,United Kingdom
493899,22355,"CHARLOTTE BAG , SUKI DESIGN",10,2010-01-08 10:43:00,0.0,12417.0,Belgium
493928,21649,,-18,2010-01-08 11:53:00,0.0,,United Kingdom
494025,21779,,-2,2010-01-11 10:11:00,0.0,,United Kingdom
494031,82484,,-6,2010-01-11 10:39:00,0.0,,United Kingdom
494034,17129D,,900,2010-01-11 11:09:00,0.0,,United Kingdom
494038,84671B,,-2,2010-01-11 11:49:00,0.0,,United Kingdom
494039,20913,,-159,2010-01-11 11:51:00,0.0,,United Kingdom
494114,21502,,-275,2010-01-11 12:30:00,0.0,,United Kingdom
494152,21914,,-71,2010-01-11 15:07:00,0.0,,United Kingdom
494155,21118,,-22,2010-01-11 15:34:00,0.0,,United Kingdom
494158,16169G,,-75,2010-01-11 16:01:00,0.0,,United Kingdom
494159,84347,,19,2010-01-11 16:32:00,0.0,,United Kingdom
494162,20968,,-116,2010-01-11 17:18:00,0.0,,United Kingdom
494168,21430,,-90,2010-01-12 09:55:00,0.0,,United Kingdom
494186,20688,,-514,2010-01-12 10:48:00,0.0,,United Kingdom
494232,84347,,14,2010-01-12 14:16:00,0.0,,United Kingdom
494248,21553,,-36,2010-01-12 16:39:00,0.0,,United Kingdom
494249,21554,,-24,2010-01-12 16:40:00,0.0,,United Kingdom
494250,21551,,-11,2010-01-12 16:40:00,0.0,,United Kingdom
494251,21552,,-23,2010-01-12 16:40:00,0.0,,United Kingdom
494252,21893,,-24,2010-01-12 16:43:00,0.0,,United Kingdom
494253,85128,,-11,2010-01-12 16:43:00,0.0,,United Kingdom
494254,84925A,,-38,2010-01-12 16:43:00,0.0,,United Kingdom
494257,84925E,,-17,2010-01-12 16:44:00,0.0,,United Kingdom
494256,84925D,,-428,2010-01-12 16:44:00,0.0,,United Kingdom
494255,84925D,,214,2010-01-12 16:44:00,0.0,,United Kingdom
494259,84838,,-5,2010-01-12 16:45:00,0.0,,United Kingdom
494258,84767,,-12,2010-01-12 16:45:00,0.0,,United Kingdom
494260,84830,,-5,2010-01-12 16:46:00,0.0,,United Kingdom
494261,21309,,-21,2010-01-12 16:47:00,0.0,,United Kingdom
494263,21340,,-14,2010-01-12 16:47:00,0.0,,United Kingdom
494262,85120,,-24,2010-01-12 16:47:00,0.0,,United Kingdom
494265,37345,,-68,2010-01-12 16:55:00,0.0,,United Kingdom
494266,21967,MIA,-512,2010-01-12 16:56:00,0.0,,United Kingdom
494273,21364,,-39,2010-01-13 10:04:00,0.0,,United Kingdom
494274,20714,,20,2010-01-13 10:05:00,0.0,,United Kingdom
494279,84029C,,-44,2010-01-13 10:41:00,0.0,,United Kingdom
494340,84997A,,-290,2010-01-13 13:06:00,0.0,,United Kingdom
494341,84997D,,-300,2010-01-13 13:07:00,0.0,,United Kingdom
494374,20913,,7,2010-01-13 16:37:00,0.0,,United Kingdom
494373,21477,,12,2010-01-13 16:37:00,0.0,,United Kingdom
494376,20968,,1,2010-01-13 16:38:00,0.0,,United Kingdom
494375,72045D,,2,2010-01-13 16:38:00,0.0,,United Kingdom
494377,84572,,-1,2010-01-13 16:41:00,0.0,,United Kingdom
494380,gift_0001_30,,5,2010-01-13 17:39:00,0.0,,United Kingdom
494388,35918B,,-12,2010-01-14 09:58:00,0.0,,United Kingdom
494393,21480,,-23,2010-01-14 10:25:00,0.0,,United Kingdom
494446,79321,,-190,2010-01-14 13:18:00,0.0,,United Kingdom
494487,21252,,-12,2010-01-14 17:08:00,0.0,,United Kingdom
494565,16206B,,96,2010-01-15 10:58:00,0.0,,United Kingdom
494607,21533,RETRO SPOT LARGE MILK JUG,12,2010-01-15 12:43:00,0.0,16858.0,United Kingdom
494610,21731,,144,2010-01-15 13:12:00,0.0,,United Kingdom
494631,72796A,,-18,2010-01-15 16:52:00,0.0,,United Kingdom
494723,84972M,,-1,2010-01-18 12:25:00,0.0,,United Kingdom
494796,82553,,-160,2010-01-18 14:22:00,0.0,,United Kingdom
494800,82577,,-54,2010-01-18 14:50:00,0.0,,United Kingdom
494813,84029D,,48,2010-01-18 18:11:00,0.0,,United Kingdom
494923,79321,,22,2010-01-20 10:10:00,0.0,,United Kingdom
494924,79321,,1,2010-01-20 10:11:00,0.0,,United Kingdom
494925,79321,,-1,2010-01-20 10:11:00,0.0,,United Kingdom
495027,21314,?,1146,2010-01-20 13:48:00,0.0,,United Kingdom
495064,71028B,,-109,2010-01-20 16:37:00,0.0,,United Kingdom
495066,72772,,-67,2010-01-20 16:53:00,0.0,,United Kingdom
495067,17014A,,-181,2010-01-20 16:53:00,0.0,,United Kingdom
495068,72753D,,-15,2010-01-20 16:54:00,0.0,,United Kingdom
495069,20965,,-27,2010-01-20 17:11:00,0.0,,United Kingdom
495081,21478,,1,2010-01-21 09:40:00,0.0,,United Kingdom
495082,22144,,1,2010-01-21 10:12:00,0.0,,United Kingdom
495083,20913,,1,2010-01-21 10:12:00,0.0,,United Kingdom
495089,84795E,,2,2010-01-21 10:48:00,0.0,,United Kingdom
495092,84450A,,-36,2010-01-21 11:01:00,0.0,,United Kingdom
495180,16240,,-40,2010-01-21 13:36:00,0.0,,United Kingdom
495191,84933D,,-4,2010-01-21 14:51:00,0.0,,United Kingdom
495199,17061,,-1198,2010-01-21 16:25:00,0.0,,United Kingdom
495204,16200A,,-3,2010-01-21 16:39:00,0.0,,United Kingdom
495205,20844,,-4,2010-01-21 16:41:00,0.0,,United Kingdom
495207,21254,,-12,2010-01-21 16:50:00,0.0,,United Kingdom
495210,16044,,-1129,2010-01-21 16:58:00,0.0,,United Kingdom
495211,16254,,-109,2010-01-21 16:58:00,0.0,,United Kingdom
495209,16051,,-378,2010-01-21 16:58:00,0.0,,United Kingdom
495212,21325,,-2,2010-01-21 17:00:00,0.0,,United Kingdom
495213,21406,,-8,2010-01-21 17:02:00,0.0,,United Kingdom
495214,20937,,-170,2010-01-21 17:06:00,0.0,,United Kingdom
495216,21753,,-2,2010-01-21 17:14:00,0.0,,United Kingdom
495217,35813A,,-12,2010-01-21 17:27:00,0.0,,United Kingdom
495219,37445A,,-1,2010-01-21 17:31:00,0.0,,United Kingdom
495220,37445C,,-16,2010-01-21 17:31:00,0.0,,United Kingdom
495218,37365Y,,-148,2010-01-21 17:31:00,0.0,,United Kingdom
495221,37445D,,-10,2010-01-21 17:32:00,0.0,,United Kingdom
495222,37350,,-121,2010-01-21 17:37:00,0.0,,United Kingdom
495223,37353,,-179,2010-01-21 17:37:00,0.0,,United Kingdom
495278,82093,,-1,2010-01-22 11:42:00,0.0,,United Kingdom
495296,37493C,,-36,2010-01-22 13:35:00,0.0,,United Kingdom
